uuid	entry	run	subrun	event	dnnsp_reco1_same	dnnsp_detsim_same	gauss_same	wiener_same	dnnsp_maxabs	dnnsp_ndiff	dnnsp_sumT	dnnsp_sumA	gauss_maxabs	gauss_ndiff	wiener_maxabs	wiener_ndiff	passthrough_T	passthrough_A	T_reco1	A_reco1	T_detsim	A_detsim
5bae-dbac-c685-fc52	2	1	15	11	1	1	0	0	0.0	0	7475763.5	7475763.5	13.859999656677246	206	18.579999923706055	176	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-5bae-dbac-c685-fc52.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-6f1b-13a6-85c6-0a49.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-5bae-dbac-c685-fc52.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-6f1b-13a6-85c6-0a49.root
5bae-dbac-c685-fc52	3	1	15	15	1	1	0	0	0.0	0	364303.34375	364303.34375	15.4399995803833	187	17.34000015258789	186	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-5bae-dbac-c685-fc52.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-6f1b-13a6-85c6-0a49.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-5bae-dbac-c685-fc52.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-6f1b-13a6-85c6-0a49.root
0d52-3071-98aa-b25d	0	1	4	1	1	1	1	1	0.0	0	7877123.0	7877123.0	0.0	0	0.0	0	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-0d52-3071-98aa-b25d.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-79f5-2f5d-e962-0cd2.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-0d52-3071-98aa-b25d.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-79f5-2f5d-e962-0cd2.root
0d52-3071-98aa-b25d	1	1	4	9	1	1	1	1	0.0	0	4656971.5	4656971.5	0.0	0	0.0	0	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-0d52-3071-98aa-b25d.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-79f5-2f5d-e962-0cd2.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-0d52-3071-98aa-b25d.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-79f5-2f5d-e962-0cd2.root
0d52-3071-98aa-b25d	2	1	4	11	1	1	1	1	0.0	0	7881579.0	7881579.0	0.0	0	0.0	0	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-0d52-3071-98aa-b25d.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-79f5-2f5d-e962-0cd2.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-0d52-3071-98aa-b25d.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-79f5-2f5d-e962-0cd2.root
04cb-888a-ffaf-5808	0	1	9	2	1	1	0	0	0.0	0	6039918.0	6039918.0	2.380000114440918	116	3.9000000953674316	99	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-915f-0edc-5b3a-8c09.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-915f-0edc-5b3a-8c09.root
04cb-888a-ffaf-5808	1	1	9	4	1	1	1	1	0.0	0	10329080.0	10329080.0	0.0	0	0.0	0	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-915f-0edc-5b3a-8c09.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-915f-0edc-5b3a-8c09.root
04cb-888a-ffaf-5808	2	1	9	5	1	1	1	1	0.0	0	7046010.0	7046010.0	0.0	0	0.0	0	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-915f-0edc-5b3a-8c09.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-915f-0edc-5b3a-8c09.root
04cb-888a-ffaf-5808	3	1	9	10	1	1	1	1	0.0	0	3371430.5	3371430.5	0.0	0	0.0	0	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-915f-0edc-5b3a-8c09.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-915f-0edc-5b3a-8c09.root
04cb-888a-ffaf-5808	4	1	9	11	1	1	0	0	0.0	0	2866306.5	2866306.5	2.859999895095825	77	7.079999923706055	79	1	1	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/reco1/000000/000000/reco1-detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/reco1/000000/000000/reco1-detsim-915f-0edc-5b3a-8c09.root	/lus/flare/projects/neutrinoGPU/twester/scratch/sbnd_gen2_full/detsim/000000/000000/detsim-g4-gen-04cb-888a-ffaf-5808.root	/lus/flare/projects/neutrinoGPU/abhat/sbnd/thomas-g4-parsl-reproduction-20260921/detsim/000000/000000/detsim-915f-0edc-5b3a-8c09.root
