run	subrun	event	n_nu	inu	nu_pdg	ccnc	mode	interaction_type	E_nu_MeV	vtx_x_cm	vtx_y_cm	vtx_z_cm	t_ns	lepton_pdg	target_pdg	n_genie_particles	in_active_tpc
298	31	4862	2	1	12	0	1	1005	1469.45	142.25	159.72	118.26	64.9	11	1000180400	19	1
298	31	5572	2	0	14	0	10	1000	823.17	476.54	193.99	-392.01	1544.4	13	1000080160	22	0
298	31	5572	2	1	12	0	2	1091	3003.04	-62.93	88.80	454.07	891.0	11	1000180400	11	1
298	31	7849	1	0	12	0	1	1005	945.21	136.37	-88.71	258.21	373.0	11	1000180400	11	1
298	31	8903	2	0	12	0	0	1001	364.05	-2.76	6.25	459.52	394.9	11	1000180400	37	1
298	31	8903	2	1	14	0	1	1003	1081.54	-110.19	-118.54	1000.92	1057.7	13	1000200400	29	0
298	31	12070	1	0	12	0	0	1001	2207.34	-102.53	29.02	301.69	201.2	11	1000180400	10	1
298	31	12307	2	0	14	1	1	1006	856.15	50.92	-11.32	-16.00	173.8	14	1000180400	12	0
298	31	12307	2	1	12	0	2	1091	1977.35	-16.24	-2.62	448.68	1569.7	11	1000180400	23	1
297	58	1179	2	0	12	0	0	1001	2247.08	21.07	-101.34	139.11	1503.2	11	1000180400	9	1
297	58	1179	2	1	14	0	0	1001	379.27	-671.76	144.80	-507.64	1293.9	13	1000120240	11	0
297	58	5522	1	0	12	0	0	1001	477.78	91.87	99.16	353.52	1189.4	11	1000180400	10	1
297	58	10377	2	0	12	0	1	1004	884.32	-184.51	-15.77	76.23	1520.8	11	1000180400	11	1
297	58	10377	2	1	14	1	0	1002	416.30	172.11	-318.40	-491.50	592.0	14	1000080160	22	0
297	58	11099	2	0	14	0	1	1003	864.80	26.47	217.67	-331.40	51.1	13	1000140280	12	0
297	58	11099	2	1	12	0	0	1001	3541.14	36.59	-88.47	359.93	621.5	11	1000180400	9	1
297	58	12226	3	0	12	0	1	1003	2123.69	38.53	-66.84	264.49	825.6	11	1000180400	41	1
297	58	12226	3	1	14	1	0	1002	458.93	-5.18	-515.92	65.07	327.1	14	1000110230	10	0
297	58	12226	3	2	14	1	0	1002	229.32	625.35	-616.53	651.78	1519.9	14	1000080160	14	0
295	65	81	2	0	12	0	1	1000	2177.51	-12.36	-100.93	114.27	138.7	11	1000180400	17	1
295	65	81	2	1	14	0	0	1001	514.33	328.89	-453.76	-435.44	1540.7	13	1000140280	8	0
295	65	363	2	0	12	0	10	1000	2405.38	-190.36	3.79	48.19	80.5	11	1000180400	11	1
295	65	363	2	1	14	0	2	1091	2831.12	-131.13	-500.10	279.69	805.2	13	1000080160	13	0
295	65	728	1	0	12	0	0	1001	731.94	17.54	-186.68	171.56	1090.9	11	1000180400	9	1
295	65	1798	1	0	12	0	1	1004	1341.46	-91.76	-73.46	266.73	1262.8	11	1000180400	13	1
295	65	2307	1	0	12	0	1	1004	1282.82	151.66	-188.65	183.65	520.0	11	1000180400	17	1
295	65	2538	1	0	12	0	0	1001	681.49	3.68	-70.80	88.14	798.6	11	1000180400	9	1
295	65	3681	2	0	12	0	10	1000	828.47	-92.40	8.83	208.77	1126.6	11	1000180400	12	1
295	65	3681	2	1	14	0	10	1000	1470.51	-90.85	49.54	-457.23	272.4	13	1000080160	12	0
295	65	5969	2	0	12	0	2	1091	2973.29	96.43	25.18	88.14	516.9	11	1000180400	16	1
