run	subrun	event	n_nu	inu	nu_pdg	ccnc	mode	interaction_type	E_nu_MeV	vtx_x_cm	vtx_y_cm	vtx_z_cm	t_ns	lepton_pdg	target_pdg	n_genie_particles	in_active_tpc
713	97	15	3	2	14	1	0	1002	803.73	-620.20	-217.22	162.32	349.5	14	1000200400	9	0
713	97	18	1	0	14	0	1	1003	1135.92	103.49	16.25	417.49	471.6	13	1000180400	23	1
713	97	25	2	0	14	1	2	1092	1148.79	-589.04	20.42	114.39	1050.6	14	1000110230	15	0
713	97	25	2	1	14	0	10	1000	733.41	-82.12	-50.68	592.10	1424.6	13	1000180400	19	0
713	97	35	3	0	14	0	0	1001	495.02	-189.04	-151.77	219.70	200.5	13	1000180400	23	1
713	97	35	3	1	14	1	0	1002	443.56	-234.29	-566.43	-330.32	770.2	14	1000080160	9	0
713	97	35	3	2	14	0	1	1005	964.59	167.71	-437.97	-273.96	276.8	13	1000140280	13	0
713	97	36	1	0	14	0	10	1000	1170.34	24.29	-215.25	-1.77	1424.4	13	1000180400	11	0
713	97	40	3	0	14	0	0	1001	677.36	-41.17	-240.46	-3.14	798.1	13	1000180400	16	0
713	97	40	3	1	14	0	0	1001	531.33	386.10	496.31	-449.77	820.0	13	1000200400	8	0
713	97	40	3	2	14	0	10	1000	1653.15	231.82	234.17	2.02	1213.8	13	1000180400	12	0
713	97	42	2	0	14	0	0	1001	670.20	-197.25	-642.19	985.90	317.1	13	1000080160	9	0
713	97	42	2	1	14	1	0	1002	758.44	-150.66	-49.12	446.91	208.3	14	1000180400	12	1
713	97	43	1	0	14	0	0	1001	379.99	-143.80	239.30	296.19	769.2	13	1000180400	10	0
713	97	49	1	0	14	0	0	1001	470.56	3.53	207.74	311.14	997.2	13	1000260560	8	0
715	36	2	1	0	14	0	10	1000	821.98	-23.62	75.07	231.09	825.9	13	1000180400	11	1
715	36	10	1	0	14	0	0	1001	871.12	-299.15	38.58	102.85	895.9	13	1000060120	16	0
715	36	11	3	0	14	0	10	1000	1054.47	391.01	187.04	-388.60	1507.5	13	1000140280	11	0
715	36	11	3	1	14	0	0	1001	1094.43	158.69	-44.33	197.75	727.5	13	1000180400	19	1
715	36	11	3	2	14	1	0	1002	331.30	199.57	-367.47	-306.79	430.0	14	1000260560	36	0
715	36	15	1	0	14	1	1	1008	1705.52	10.87	-9.28	340.68	1357.5	14	1000180400	19	1
715	36	40	3	0	14	1	1	1009	678.29	483.30	28.56	87.76	289.3	14	1000140280	12	0
715	36	40	3	1	14	1	0	1002	694.64	157.26	193.78	10.11	702.7	14	1000180400	11	1
715	36	40	3	2	12	0	3	1097	1974.28	-141.33	-239.64	-272.56	1264.3	11	1000080160	5	0
715	36	43	2	0	14	0	1	1004	939.34	2.95	22.36	504.14	1384.4	13	1000180400	16	0
715	36	43	2	1	14	1	1	1006	734.38	567.75	-287.84	-326.60	1524.8	14	1000200400	15	0
715	36	46	3	0	14	0	1	1003	570.57	-188.11	-261.69	150.64	142.4	13	1000180400	15	0
715	36	46	3	1	14	0	1	1003	1431.55	6.64	-230.98	-315.43	1373.0	13	1000200400	11	0
715	36	46	3	2	-14	0	1	1000	1203.66	62.66	-11.67	126.35	783.1	-13	1000180400	12	1
715	36	47	3	0	14	0	0	1001	505.12	-311.79	-242.54	-362.75	501.2	13	1000080160	15	0
715	36	47	3	1	14	1	2	1092	6144.54	-34.05	-92.55	621.64	668.8	14	1000180400	34	0
715	36	47	3	2	14	0	1	1000	3368.02	-145.05	-516.37	-412.05	1050.4	13	1000080160	13	0
715	34	1	4	0	14	0	10	1000	1001.72	-155.84	131.31	-373.75	1413.7	13	1000200400	11	0
715	34	1	4	1	14	0	10	1000	568.43	345.70	545.71	-375.05	410.1	13	1000130270	12	0
